GEO_ID,NAME,poptotal,popblack,pophispanic,poortotal,poorblack,poorhispanic
1400000US13117130609,"Census Tract 1306.09, Forsyth County, Georgia",6635,592,77,283,55,69
1400000US13117130610,"Census Tract 1306.10, Forsyth County, Georgia",5823,44,69,271,0,0
1400000US13117130611,"Census Tract 1306.11, Forsyth County, Georgia",4959,46,276,233,9,0
1400000US13117130613,"Census Tract 1306.13, Forsyth County, Georgia",5865,283,343,128,6,0
1400000US13117130614,"Census Tract 1306.14, Forsyth County, Georgia",4105,140,433,86,0,29
1400000US13117130615,"Census Tract 1306.15, Forsyth County, Georgia",2976,0,86,48,0,0
1400000US13119890101,"Census Tract 8901.01, Franklin County, Georgia",4712,820,503,1250,328,110
1400000US13119890103,"Census Tract 8901.03, Franklin County, Georgia",2455,44,12,372,0,0
1400000US13119890104,"Census Tract 8901.04, Franklin County, Georgia",1708,577,194,148,26,0
1400000US13119890201,"Census Tract 8902.01, Franklin County, Georgia",2831,20,103,476,0,0
1400000US13119890202,"Census Tract 8902.02, Franklin County, Georgia",2681,173,17,228,15,8
